,CD45RA,CCR7,CD27,CD28,CD38,HLADR,TIM3,PD1,FOXP3,CD25,CD127,CD95
Sub1,0.8799877762794495,0.396973580121994,0.2535560429096222,-0.45216524600982666,1.008934497833252,-0.2333734780550003,0.07279130071401596,-0.42831504344940186,-0.22673115134239197,-0.4257197380065918,-0.6303876638412476,-0.8423542976379395
Sub2,0.7214480042457581,0.16391250491142273,-0.07051774114370346,-0.7947685718536377,-0.10474736243486404,-0.24845488369464874,-0.11481427401304245,-0.4135650396347046,-0.2510596215724945,-0.3780764937400818,-0.3267110586166382,-0.9254945516586304
Sub3,1.0703953504562378,0.9565995931625366,0.8388663530349731,0.37486597895622253,0.7165827751159668,-0.20826661586761475,-0.7576368451118469,-0.4858236610889435,-0.08565887063741684,-0.37099966406822205,0.6669105887413025,-0.7980766892433167
Sub4,1.1686328649520874,1.0437604188919067,0.6475929021835327,0.0672469288110733,0.05988827720284462,-0.16203835606575012,0.010878302156925201,-0.44082093238830566,-0.3192053735256195,-0.37464195489883423,0.28611472249031067,-0.8128531575202942
Sub5,-0.46303310990333557,0.7130298018455505,0.5932216644287109,0.26723751425743103,2.253056287765503,-0.2511065602302551,0.037420790642499924,-0.25614747405052185,-0.11165998131036758,-0.3410699963569641,-0.3351747989654541,-0.23814283311367035
Sub6,1.231247901916504,0.8654887676239014,0.5531143546104431,-0.07011447101831436,1.7699108123779297,-0.1583278477191925,0.013743376359343529,-0.39131787419319153,-0.2306521236896515,-0.4515884816646576,0.13411244750022888,-0.759601891040802
