MC,mean_A_%,mean_B_%,median_A_%,median_B_%,delta_arcsin,n_A,n_B,p,p_adj,signed_logFDR,grpA,grpB,test,contrast
MC1,0.9748420701738401,1.3810942937107606,0.5559623383204964,1.2512030798845042,-0.021630417093257442,14,13,0.2344826070931848,0.46896521418636966,-0.3288593701787141,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC2,15.374654401853746,15.121511335565824,14.26332161946868,13.782051282051285,-0.004938956280218176,14,13,0.980642762903111,0.9806427629031111,-0.008489172391168913,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC3,16.95008206649888,8.501194000296545,17.46432782774628,5.261469361565608,0.13645267950740353,14,13,0.018596672842396387,0.046491682105990965,1.3326247404132965,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC4,27.637775816320936,28.636553078580334,25.7255078273052,28.48893166506256,-0.013650065930032929,14,13,0.7524427599988597,0.9405534499985746,-0.026616519220621897,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC5,7.548606134978232,5.520961106442507,4.666702067403001,5.325633622072505,0.03627559595626442,14,13,0.610384513874678,0.8719778769638256,0.059494533455522365,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC6,5.535131294246797,1.651970822265136,5.238360171700702,1.453104359313078,0.10276329179876031,14,13,0.0003615426350525205,0.0018077131752626025,2.7428704766717735,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC7,7.843171821571665,4.605654314979156,4.607017669042161,4.7556142668428,0.05074549835061176,14,13,0.3440159425802912,0.5733599043004854,0.2415726810266118,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC8,4.6222665991387535,5.413952330048395,4.768998720351814,4.919160646714826,-0.015285103522667959,14,13,0.9419738351432534,0.9806427629031111,-0.008489172391168913,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC9,9.224267980453893,14.755084124123918,7.257980115122972,13.684210526315791,-0.08886234906466922,14,13,0.014262982670900436,0.046491682105990965,-1.3326247404132965,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC10,4.289201814763258,14.412024593987427,3.729176408329708,11.647026582625376,-0.18851958311393494,14,13,0.00011439835089059493,0.0011439835089059492,-2.94158023606989,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC1,0.9748420701738401,1.265780441494001,0.5559623383204964,0.8743964630062965,-0.015555124750712981,14,10,0.3640964293652711,0.45512053670658886,-0.34187356709277983,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC2,15.374654401853746,25.555756557344523,14.26332161946868,23.800350672542415,-0.1387126489536576,14,10,0.005413914287949442,0.013534785719873604,-1.8685486155058229,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC3,16.95008206649888,25.584244710142173,17.46432782774628,24.433228613196142,-0.11701464388830735,14,10,0.03764795382760189,0.07529590765520378,-1.1232286271334293,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC4,27.637775816320936,7.800625806823784,25.7255078273052,6.494177574493673,0.27447585707485883,14,10,0.00020066384664937676,0.0008419478010089568,3.074714833009251,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC5,7.548606134978232,6.978115965075995,4.666702067403001,6.94376405115238,-0.0034137691877126897,14,10,0.7034993180411209,0.7034993180411209,-0.15273631922585473,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC6,5.535131294246797,1.443740464140207,5.238360171700702,1.3676231340061262,0.1101561364094224,14,10,0.00025258434030268705,0.0008419478010089568,3.074714833009251,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC7,7.843171821571665,3.898029260039967,4.607017669042161,3.93227381183355,0.06820157614206859,14,10,0.16881571913149362,0.2411653130449909,0.6176851568820526,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC8,4.6222665991387535,3.5557954059789294,4.768998720351814,3.558522737550823,0.01766537880727606,14,10,0.4642143127710314,0.5157936808567016,0.2875239828376234,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC9,9.224267980453893,5.654815958340199,7.257980115122972,5.593935638698461,0.05986379128832081,14,10,0.15140878254142853,0.2411653130449909,0.6176851568820526,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC10,4.289201814763258,18.263095430620222,3.729176408329708,18.0158274867683,-0.24562601320493446,14,10,6.047509713585352e-05,0.0006047509713585352,-3.2184234253963218,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC1,1.265780441494001,1.3810942937107606,0.8743964630062965,1.2512030798845042,-0.006075292342544461,10,13,0.4757221771273181,0.5285801968081313,-0.2768891116887152,PrEP,HC,unpaired,PrEP_vs_HC
MC2,25.555756557344523,15.121511335565824,23.800350672542415,13.782051282051285,0.13377369267343941,10,13,0.0007249993612304641,0.0018124984030761602,2.741722367397254,PrEP,HC,unpaired,PrEP_vs_HC
MC3,25.584244710142173,8.501194000296545,24.433228613196142,5.261469361565608,0.2534673233957109,10,13,0.00028560757985870105,0.0009520252661956701,3.021351525540159,PrEP,HC,unpaired,PrEP_vs_HC
MC4,7.800625806823784,28.636553078580334,6.494177574493673,28.48893166506256,-0.28812592300489176,10,13,0.0002242246508976228,0.0009520252661956701,-3.021351525540159,PrEP,HC,unpaired,PrEP_vs_HC
MC5,6.978115965075995,5.520961106442507,6.94376405115238,5.325633622072505,0.03968936514397711,10,13,0.25124885608478764,0.3968386670075746,0.4013860178438005,PrEP,HC,unpaired,PrEP_vs_HC
MC6,1.443740464140207,1.651970822265136,1.3676231340061262,1.453104359313078,-0.007392844610662086,10,13,0.5557506005798083,0.5557506005798083,-0.2551200593021958,PrEP,HC,unpaired,PrEP_vs_HC
MC7,3.898029260039967,4.605654314979156,3.93227381183355,4.7556142668428,-0.01745607779145683,10,13,0.36851854099003634,0.4606481762375454,-0.33663064392280256,PrEP,HC,unpaired,PrEP_vs_HC
MC8,3.5557954059789294,5.413952330048395,3.558522737550823,4.919160646714826,-0.03295048232994402,10,13,0.2777870669053022,0.3968386670075746,-0.4013860178438005,PrEP,HC,unpaired,PrEP_vs_HC
MC9,5.654815958340199,14.755084124123918,5.593935638698461,13.684210526315791,-0.14872614035299003,10,13,0.00028560757985870105,0.0009520252661956701,-3.021351525540159,PrEP,HC,unpaired,PrEP_vs_HC
MC10,18.263095430620222,14.412024593987427,18.0158274867683,11.647026582625376,0.05710643009099953,10,13,0.1628980349177952,0.3257960698355904,0.4870541590054441,PrEP,HC,unpaired,PrEP_vs_HC
MC1,0.9442234368944046,0.97484207017384,0.7426266279217749,0.5559623383204964,0.00047841656854194503,14,14,0.9515380859375,0.9515380859375,0.021573824106895054,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC2,13.626752470021586,15.374654401853746,12.45134849138865,14.26332161946868,-0.022208730814097688,14,14,0.10400390625,0.3466796875,-0.4600716035847179,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC3,14.271111895643276,16.950082066498883,9.809844345220625,17.46432782774628,-0.03803664653981742,14,14,0.267578125,0.4459635416666667,-0.3507006442030676,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC4,33.893835906331105,27.637775816320936,35.721210720258895,25.7255078273052,0.07064677584732593,14,14,0.0008544921875,0.008544921875,2.068291903617499,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC5,7.468716512504097,7.548606134978232,5.19126370761865,4.666702067403001,-0.015661144376120734,14,14,0.1937255859375,0.43310546875,-0.3634063324720668,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC6,4.0344071079688435,5.535131294246797,3.088402934477123,5.238360171700702,-0.0452664798320466,14,14,0.067626953125,0.338134765625,-0.470910174567307,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC7,5.98433539999573,7.843171821571664,5.202668985092111,4.607017669042161,-0.027769709368506507,14,14,0.3258056640625,0.46543666294642855,-0.3321394098585047,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC8,4.235203563265148,4.622266599138753,3.5087586722410826,4.768998720351814,-0.008865845827341179,14,14,0.42626953125,0.5328369140625,-0.27340569559016703,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC9,11.279454839897218,9.224267980453893,9.692165183032763,7.257980115122972,0.03582910402214262,14,14,0.216552734375,0.43310546875,0.3634063324720668,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC10,4.2619588674785875,4.289201814763257,4.32095559704105,3.729176408329708,0.00398918124532438,14,14,0.9031982421875,0.9515380859375,0.021573824106895054,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC1,0.9442234368944045,1.3810942937107606,0.7426266279217749,1.2512030798845042,-0.021152000524715497,14,13,0.12637008658573637,0.3159252164643409,-0.5004157082694398,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC2,13.626752470021586,15.121511335565824,12.45134849138865,13.782051282051285,-0.027147687094315864,14,13,0.39576568734555584,0.565379553350794,-0.24765990159020182,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC3,14.271111895643276,8.501194000296545,9.809844345220625,5.261469361565608,0.09841603296758611,14,13,0.07652665316808234,0.3159252164643409,0.5004157082694398,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC4,33.89383590633111,28.636553078580334,35.721210720258895,28.48893166506256,0.056996709917293,14,13,0.36932741358378485,0.565379553350794,0.24765990159020182,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC5,7.468716512504099,5.520961106442507,5.19126370761865,5.325633622072505,0.02061445158014355,14,13,0.9419738351432534,0.9419738351432534,0.025961160275827306,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC6,4.0344071079688435,1.651970822265136,3.088402934477123,1.453104359313078,0.05749681196671372,14,13,0.11477248163567938,0.3159252164643409,0.5004157082694398,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC7,5.98433539999573,4.605654314979156,5.202668985092111,4.7556142668428,0.022975788982105255,14,13,0.5441316793449582,0.6408996436451984,0.1932099698934913,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC8,4.235203563265148,5.413952330048395,3.5087586722410826,4.919160646714826,-0.024150949350009138,14,13,0.5768096792806785,0.6408996436451984,-0.1932099698934913,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC9,11.279454839897216,14.755084124123918,9.692165183032763,13.684210526315791,-0.0530332450425266,14,13,0.1984628844147559,0.3969257688295118,-0.4012907053327455,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC10,4.2619588674785875,14.412024593987427,4.32095559704105,11.647026582625376,-0.18453040186861056,14,13,6.243646545850878e-05,0.0006243646545850878,-3.2045616904160603,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC1,0.9442234368944045,1.265780441494001,0.7426266279217749,0.8743964630062965,-0.015076708182171036,14,10,0.5386755507626598,0.5985283897362887,-0.22291524506809982,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC2,13.626752470021586,25.555756557344523,12.45134849138865,23.800350672542415,-0.16092137976775528,14,10,0.0009386378338292584,0.0031287927794308615,-2.5046231993114074,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC3,14.271111895643276,25.584244710142173,9.809844345220625,24.433228613196142,-0.15505129042812477,14,10,0.006473883367260929,0.012947766734521856,-1.8878051333984829,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC4,33.89383590633111,7.800625806823784,35.721210720258895,6.494177574493673,0.34512263292218476,14,10,9.866921770661807e-05,0.0004933460885330903,3.306848310727559,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC5,7.468716512504099,6.978115965075995,5.19126370761865,6.94376405115238,-0.019074913563833562,14,10,0.3958628946276468,0.4948286182845585,-0.30554519100805194,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC6,4.0344071079688435,1.443740464140207,3.088402934477123,1.3676231340061262,0.0648896565773758,14,10,0.08410605776282679,0.14017676293804462,0.8533239732751238,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC7,5.98433539999573,3.898029260039967,5.202668985092111,3.93227381183355,0.040431866773562086,14,10,0.15140878254142853,0.21629826077346934,0.6649469726530113,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC8,4.235203563265148,3.5557954059789294,3.5087586722410826,3.558522737550823,0.008799532979934882,14,10,1.0,1.0,-0.0,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC9,11.279454839897216,5.654815958340199,9.692165183032763,5.593935638698461,0.09569289531046343,14,10,0.0037504412848183765,0.009376103212045942,2.0279776205905637,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC10,4.2619588674785875,18.263095430620222,4.32095559704105,18.0158274867683,-0.24163683195961008,14,10,4.711347153516134e-05,0.0004711347153516134,-3.3268548937873024,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
