,CD45RA,CCR7,CD27,CD28,CD38,HLADR,TIM3,PD1,FOXP3,CD25,CD127,CD95
MC1,-0.028849134221673012,-0.3175037205219269,0.31573227047920227,0.44429630041122437,0.799924373626709,-0.026582885533571243,5.188894271850586,0.38137900829315186,-0.08699752390384674,-0.09626808017492294,-0.06335732340812683,0.24044276773929596
MC2,-0.3886620104312897,0.18285126984119415,0.21462297439575195,-0.11791746318340302,-0.3334331214427948,-0.2243940681219101,0.1344434767961502,-0.3154698610305786,-0.22078917920589447,-0.13191330432891846,0.1426004022359848,-0.2985507845878601
MC3,0.8793662190437317,0.2767670750617981,0.06359552592039108,-0.6865230202674866,0.07039711624383926,-0.2392648309469223,-0.05987095832824707,-0.4318573772907257,-0.25635790824890137,-0.3991537094116211,-0.3863721191883087,-0.9086883664131165
MC4,0.9541873335838318,0.8957498669624329,0.6177887320518494,0.0788164809346199,1.0055487155914307,-0.18357205390930176,-0.10243000835180283,-0.41253983974456787,-0.2243434190750122,-0.3925468921661377,0.15963861346244812,-0.7436032891273499
MC5,-0.39785051345825195,-1.5636662244796753,-2.162797451019287,-2.0405895709991455,-0.4769981801509857,0.2911297380924225,0.07660822570323944,0.9442034959793091,-0.05545281246304512,-0.5200883150100708,-1.4177420139312744,0.26456812024116516
MC6,-0.8304574489593506,-1.2352960109710693,-1.3664883375167847,-0.0003337631933391094,0.3052801489830017,4.407321453094482,-0.050339534878730774,1.625014305114746,0.2421414852142334,-0.13781771063804626,-1.0620317459106445,1.3548663854599
MC7,-0.4939574599266052,-0.4528053402900696,0.39684465527534485,0.2226342260837555,-0.3666345179080963,0.4223339855670929,-0.4004916250705719,0.09974092245101929,3.398974657058716,2.786184787750244,-1.2915252447128296,0.8539878129959106
MC8,-0.9583777785301208,-0.7487387657165527,0.08602121472358704,0.9738309979438782,-0.3504026234149933,-0.054970044642686844,-0.352016419172287,2.6525349617004395,-0.13237135112285614,-0.13703157007694244,-0.03150661289691925,1.4091801643371582
MC9,-0.9106414318084717,0.15023259818553925,0.488038033246994,1.0525074005126953,-0.603665828704834,-0.1781851351261139,-0.3755996525287628,-0.05936271324753761,-0.11080479621887207,0.18686127662658691,0.597543478012085,1.0353072881698608
MC10,-0.9049731492996216,-1.1456629037857056,-0.9654375314712524,0.6982683539390564,-0.8519486784934998,-0.11633076518774033,0.19916167855262756,0.052370935678482056,-0.14425748586654663,0.6817225813865662,1.1202969551086426,1.0699876546859741
