,CD45RA,CCR7,CD27,CD28,CD38,HLADR,TIM3,PD1,FOXP3,CD25,CD127,CD95
MC1,1.0544102191925049,1.9493005275726318,1.1945239305496216,0.6112866997718811,-0.21546967327594757,-0.5878027677536011,0.024038255214691162,-0.6529448628425598,-0.346248060464859,0.0719074010848999,1.0710577964782715,-1.5888311862945557
MC2,-0.6968573331832886,-0.004189268685877323,0.6598430275917053,1.6096314191818237,-0.6669767498970032,-0.33661147952079773,-0.18563535809516907,0.1168835461139679,-0.1262034773826599,0.2239988148212433,1.3332605361938477,0.4834463596343994
MC3,-0.8317210674285889,0.04107551649212837,0.5454196929931641,1.4330928325653076,-0.7564774751663208,-0.5397641658782959,-0.08171408623456955,-0.4071500897407532,0.1927585005760193,3.767754077911377,1.6878546476364136,0.8617460131645203
MC4,-0.9566239714622498,-0.041921887546777725,0.4281963109970093,2.0612761974334717,-0.7443538904190063,-0.4349727928638458,-0.2578941583633423,-0.37854158878326416,1.4270894527435303,9.802900314331055,1.4654231071472168,1.4571548700332642
MC5,-0.9498640298843384,-0.3526352345943451,0.6163515448570251,0.21929407119750977,2.4169836044311523,2.5724501609802246,0.034565236419439316,1.621180534362793,0.7232760787010193,-0.3043060600757599,-0.6845859289169312,1.3085417747497559
MC6,-0.7984442114830017,-0.4696412980556488,-0.4811096787452698,-0.4847247898578644,0.840201199054718,1.152694821357727,-0.25465041399002075,0.1296166628599167,0.3665425479412079,-0.3034038841724396,-0.6467781662940979,0.619089663028717
MC7,-0.840108335018158,-0.47735849022865295,0.18285945057868958,-0.4628339409828186,-0.19518640637397766,0.01055480632930994,-0.2109527438879013,1.1488642692565918,-0.2345649003982544,-0.1029345840215683,-0.56107097864151,0.3365832567214966
MC8,0.36096569895744324,-0.41341665387153625,-0.519266664981842,-0.43366825580596924,0.802324652671814,-0.12087702006101608,3.929588556289673,0.030131269246339798,0.2909497022628784,-0.26184335350990295,-0.5988948345184326,0.3177749216556549
MC9,-0.4888971745967865,-0.5026015639305115,-0.7917219996452332,-0.6295992732048035,-0.40450552105903625,-0.31575214862823486,-0.1942652016878128,-0.3794150948524475,-0.04521479085087776,-0.12044058740139008,-0.3989609181880951,-0.07959368824958801
MC10,1.042725682258606,-0.5074379444122314,-0.8171894550323486,-0.6338931322097778,0.06505934149026871,-0.07029644399881363,-0.10139400511980057,-0.47269970178604126,0.1515888273715973,-0.2362721711397171,-0.625947117805481,0.11919684708118439
