MC,mean_A_%,mean_B_%,median_A_%,median_B_%,delta_arcsin,n_A,n_B,p,p_adj,signed_logFDR,grpA,grpB,test,contrast
MC1,3.1714285714285717,0.18307692307692308,0.55,0.16,0.08728279102437189,14,13,0.0007952169614480272,0.0025349393143277122,2.596032433083337,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC2,1.7557142857142858,0.24461538461538462,1.0899999999999999,0.2,0.07501233358933694,14,13,1.929371609568691e-05,0.0001929371609568691,3.714584116346827,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC3,5.509999999999999,0.36615384615384616,4.8,0.32,0.16313191666165694,14,13,1.1078675174068231e-05,0.0001929371609568691,3.714584116346827,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC4,15.032857142857141,6.54,13.25,5.7,0.1296709036439944,14,13,0.012451016606156872,0.020751694343594786,1.6829464380346555,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC5,3.3385714285714285,1.2384615384615383,2.46,1.04,0.06363440232310211,14,13,0.03079251508381679,0.041056686778422384,1.3866161005549584,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC6,21.33142857142857,7.333846153846154,20.560000000000002,6.1,0.20943235386036196,14,13,0.00011439835089059493,0.0005719917544529746,3.242610231733871,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC7,5.355714285714285,9.069230769230769,4.199999999999999,9.4,-0.07884260142246907,14,13,0.00759990785149861,0.015199815702997218,-1.8181616778221072,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC8,5.88857142857143,2.4861538461538464,6.85,2.16,0.07928056907825615,14,13,0.02401989663286229,0.03431413804694613,1.4645269058846764,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC9,0.9414285714285716,0.6615384615384615,0.82,0.4,0.01542400656389252,14,13,0.3688885829370241,0.38830377151265694,0.4108283912227374,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC10,1.58,3.5030769230769225,1.34,3.34,-0.0635382555805572,14,13,0.002837504837450112,0.006305566305444693,-2.2002759031773014,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC11,1.6500000000000001,4.835384615384616,1.0699999999999998,4.44,-0.0924225869614833,14,13,0.008761754861183604,0.01593046338397019,-1.7977715912940142,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC12,0.8300000000000001,5.730769230769231,0.27999999999999997,5.12,-0.15721829497709827,14,13,3.3210708000590476e-05,0.00022140472000393651,-3.6548131248763838,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC13,0.812857142857143,1.4107692307692308,0.8300000000000001,1.2,-0.029771736703591248,14,13,0.01738286336772105,0.026742866719570844,-1.5727920400897761,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC14,0.822857142857143,0.5861538461538462,0.78,0.62,0.014118280774665593,14,13,0.2536991563980381,0.28188795155337565,0.5499234863338185,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC15,2.7071428571428564,6.6707692307692295,1.55,5.800000000000001,-0.08970040785438863,14,13,0.0347819484147747,0.043477435518468374,-1.3617360803406653,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC16,10.142857142857142,17.34153846153846,10.52,14.78,-0.09928391103443196,14,13,0.07652665316808234,0.09003135666833216,-1.0456062054910378,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC17,7.095714285714285,13.967692307692305,6.35,14.6,-0.11785748078766306,14,13,0.0008872287600146993,0.0025349393143277122,-2.596032433083337,HIV_W0,HC,unpaired,HIV_W0_vs_HC
