,CD4,CD8,CD45RA,CCR7,CD27,CD28,CD38,HLADR,TIM3,PD1,FOXP3,CD25,CD127,CD95
MC1,-0.7013782143952983,1.0843753872321091,-0.5052594187756679,-0.5142479749604655,0.6292874316074337,-0.01922280982902043,6.616399390459781,2.6774794932938772,0.4993361620024252,1.2766872532778275,0.2848956520103616,-0.24007131109785096,-0.8104402939718656,1.4531851592740983
MC2,-0.5831204623836347,0.4978181825607967,-0.527800805492782,-0.559604436850715,-0.15922158535145708,0.06015941457238895,2.4565503469879926,8.105296942458176,-0.14840841524934228,0.896370209942492,0.43265727373052143,-0.19171037174725108,-0.7758185628035618,1.807596633837021
MC3,-0.6588781043126588,0.16983238176947957,-0.5782352123008108,-0.6259210885810491,-0.44843737308379605,-0.45670641086051955,1.7280471830602404,1.6410751804286907,-0.12770857856043796,0.6264690925583722,0.11678885764570904,-0.24725008497616743,-0.8118960230922879,0.8022607742049969
MC4,-0.8064080089310395,-0.2576944229778919,-0.1619178043468438,-0.6837810846001254,-0.8938007108152359,-0.8081345235516427,-0.24447328263673057,-0.04379465805841626,-0.04482036892533384,-0.0251805712921311,-0.04723550042769369,-0.25340227505026414,-0.7997346772640715,-0.2445082381494986
MC5,-0.8291747361207105,1.10354236604792,-0.05284911321928276,-0.6725808522440538,-0.7953697661255376,-0.733668762067755,0.29685732262457215,-0.04421064722678191,2.0275223236325037,0.02253573020759624,0.052115008645629346,-0.25912543617048994,-0.7791566130611506,0.033001525246806156
MC6,-0.8638427084143672,1.318681360404705,-0.2874208864523316,-0.6866662286264061,-0.7038794604080156,-0.7387205711182379,-0.1561828860793929,0.033978991170374825,-0.28649607125657056,0.24155255891056623,-0.01792556831925344,-0.2605447124090225,-0.7590250441922044,0.05002142875734899
MC7,-0.838751021948111,0.8119351369636882,1.220114115480754,0.6804151576240468,0.88972693608224,-0.22485208687233038,-0.2250017095182477,-0.24386305944197723,0.03706930459820818,-0.272454174040542,-0.16803145752853632,-0.21702477592526956,0.2986207829975004,-0.7613563662221553
MC8,-0.8285678812757613,0.6671243363480917,2.670864155992387,-0.6762246305461332,-0.923469695437002,-0.7854523923504784,0.2310277721058709,0.07764203352191301,0.17486773008531034,-0.12841968765963718,0.03820354283497658,-0.27152064065463544,-0.8119522615985526,0.0820285415229044
MC9,-0.5254372559921323,0.41246991056408033,0.49196682422299826,-0.4334399175099409,0.11373741228726975,-0.13798997556469633,1.1199967766534122,0.08831452726993695,7.633181565218869,0.20788212455181146,0.04502769499255497,-0.17432030599489362,-0.403136111783748,0.22237533561038608
MC10,1.1955043752047374,-0.6911493353444673,-0.7243750300046313,-0.2695180788493471,-0.11918867653454274,2.0965133824185567,-0.13925769612174255,0.0745744096765289,-0.36101720752367894,0.5309911659305531,0.056929503688539926,0.2564559045760946,0.3256084608294833,3.0283567593021417
MC11,1.2131589519614883,-0.7171884338294846,-0.6889970616314011,0.47779128625214706,1.2560089099865406,1.9847191566666929,-0.37252093489811566,-0.23982966461124328,-0.19502948165402567,-0.029629638201903532,-0.1599773446624324,0.33119146257015797,1.0118224876043689,0.7779875344920848
MC12,1.683956075360998,-0.7361337067403337,-0.6957379427400624,-0.3439466399170442,-0.0759708243029313,1.6983268893494898,-0.445285142938647,-0.2290490551616519,-0.05906790885262979,-0.04429489121798731,-0.055376503259134194,1.0282055299673507,2.968248258666806,1.2652472624719198
MC13,0.6566163700904498,-0.7466942340796121,-0.404126849914312,0.013884194982098476,0.5410316895008709,0.38358602312428697,-0.2762613657089691,-0.2069958807436708,-0.21582354032076323,-0.10625197958915143,2.0458563017565394,2.6899987013119295,-0.41501189708088027,0.38888414524680165
MC14,0.618058190111519,-0.7579300211083074,-0.5727277483258929,-0.10055465310525921,0.8859267059791431,0.9072136041607849,-0.12366213763520786,0.20407204436825063,-0.36309631795683933,-0.0155063114349348,6.58990550889328,3.144152701069311,-0.6562633719032326,2.005220418592956
MC15,1.390479615738735,-0.7391508396618082,0.4051339775892023,1.4185357660726616,1.865446940245207,0.9233396427676831,0.4365451131784317,-0.2474351086277689,-0.1009535057292654,-0.24236080956417724,-0.176202827599061,-0.07267682820920102,0.7497142335571078,-0.6226430281402746
MC16,0.7837022292760281,-0.7148961965614019,0.37713304771922324,1.5054715198241055,0.5267473615920055,0.12993379770350966,0.07427106427745372,-0.24448563105864562,-0.12974759148257742,-0.26291460165264624,-0.24739674592632363,-0.11358576991584785,0.19743880667884972,-0.7247446759743977
MC17,-0.8250340875589622,0.44868576475053956,-0.5759717120170098,-0.5237443946071081,0.010626959474684769,0.3085742861790828,-0.39933274216112924,-0.1448090454069867,-0.1377692636123718,0.05577070976760492,-0.07555398979008723,-0.11725806199453974,0.7092409812395024,0.28780197135630786
MC18,0.9490805334031848,-0.7612507329122177,-0.569207048672176,-0.10261773060456492,0.1660752916998632,0.48659943867820343,-0.3513850785036646,-0.2382374018554087,-0.05113850717989789,-0.05236834575197914,-0.2069566744431348,0.1402120664089719,0.6835458635643779,0.09108137706217621
MC19,0.5518413673659555,-0.7315575580827995,-0.3314112983435012,-0.11725551693000796,-0.2967092202479146,-0.2988904529164909,-0.12152437873367022,-0.18030006488713513,-0.04495539774942402,-0.039970380580079234,-0.11051605460953738,-0.12567180574924075,-0.33592229006164237,-0.4403463776629769
MC20,0.99129436634205,-0.7619106857864945,-0.6437406893129702,-0.3808745631465205,1.0621142210783783,1.42784344708478,-0.1491981788917824,0.9923740669533059,-0.60275106076841,0.02426736663889002,6.198253490306713,11.874339916087964,-0.6400140126546224,4.114402205855758
